key_id,stadium_id,stadium_name,city_name,country_name,stadium_capacity,stadium_wikipedia_link,city_wikipedia_link
1,S-001,Estadio José Amalfitani,Buenos Aires,Argentina,49000,https://en.wikipedia.org/wiki/José_Amalfitani_Stadium,https://en.wikipedia.org/wiki/Buenos_Aires
2,S-002,Estadio Monumental,Buenos Aires,Argentina,75000,https://en.wikipedia.org/wiki/Estadio_Monumental_Antonio_Vespucio_Liberti,https://en.wikipedia.org/wiki/Buenos_Aires
3,S-003,Estadio Chateau Carreras,Córdoba,Argentina,47000,https://en.wikipedia.org/wiki/Estadio_Mario_Alberto_Kempes,"https://en.wikipedia.org/wiki/Córdoba,_Argentina"
4,S-004,Estadio José María Minella,Mar del Plata,Argentina,44000,https://en.wikipedia.org/wiki/Estadio_José_Mar%C3%ADa_Minella,https://en.wikipedia.org/wiki/Mar_del_Plata
5,S-005,Estadio Ciudad de Mendoza,Mendoza,Argentina,35000,https://en.wikipedia.org/wiki/Estadio_Malvinas_Argentinas,"https://en.wikipedia.org/wiki/Mendoza,_Argentina"
6,S-006,Estadio Gigante de Arroyito,Rosario,Argentina,46000,https://en.wikipedia.org/wiki/Estadio_Gigante_de_Arroyito,"https://en.wikipedia.org/wiki/Rosario,_Santa_Fe"
7,S-007,Estádio Independência,Belo Horizonte,Brazil,30000,https://en.wikipedia.org/wiki/Estádio_Independência,https://en.wikipedia.org/wiki/Belo_Horizonte
8,S-008,Estádio Mineirão,Belo Horizonte,Brazil,43000,https://en.wikipedia.org/wiki/Mineirão,https://en.wikipedia.org/wiki/Belo_Horizonte
9,S-009,Estádio Nacional,Brasília,Brazil,70000,https://en.wikipedia.org/wiki/Estádio_Nacional_Mané_Garrincha,https://en.wikipedia.org/wiki/Bras%C3%ADlia
10,S-010,Arena Pantanal,Cuiabá,Brazil,41000,https://en.wikipedia.org/wiki/Arena_Pantanal,https://en.wikipedia.org/wiki/Cuiabá
11,S-011,Arena da Baixada,Curitiba,Brazil,40000,https://en.wikipedia.org/wiki/Arena_da_Baixada,https://en.wikipedia.org/wiki/Curitiba
12,S-012,Estádio Vila Capanema,Curitiba,Brazil,10000,https://en.wikipedia.org/wiki/Estádio_Vila_Capanema,https://en.wikipedia.org/wiki/Curitiba
13,S-013,Estádio Castelão,Fortaleza,Brazil,63000,https://en.wikipedia.org/wiki/Castelão_(Ceará),https://en.wikipedia.org/wiki/Fortaleza
14,S-014,Arena da Amazônia,Manaus,Brazil,41000,https://en.wikipedia.org/wiki/Arena_da_Amazônia,https://en.wikipedia.org/wiki/Manaus
15,S-015,Arena das Dunas,Natal,Brazil,40000,https://en.wikipedia.org/wiki/Arena_das_Dunas,"https://en.wikipedia.org/wiki/Natal,_Rio_Grande_do_Norte"
16,S-016,Estádio Beira-Rio,Porto Alegre,Brazil,43000,https://en.wikipedia.org/wiki/Estádio_Beira-Rio,https://en.wikipedia.org/wiki/Porto_Alegre
17,S-017,Estádio dos Eucaliptos,Porto Alegre,Brazil,20000,https://en.wikipedia.org/wiki/Estádio_dos_Eucaliptos,https://en.wikipedia.org/wiki/Porto_Alegre
18,S-018,Arena Pernambuco,Recife,Brazil,43000,https://en.wikipedia.org/wiki/Arena_Pernambuco,https://en.wikipedia.org/wiki/Recife
19,S-019,Estádio Ilha do Retiro,Recife,Brazil,30000,https://en.wikipedia.org/wiki/Estádio_Ilha_do_Retiro,https://en.wikipedia.org/wiki/Recife
20,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,200000,https://en.wikipedia.org/wiki/Maracanã_Stadium,https://en.wikipedia.org/wiki/Rio_de_Janeiro
21,S-021,Arena Fonte Nova,Salvador,Brazil,52000,https://en.wikipedia.org/wiki/Arena_Fonte_Nova,"https://en.wikipedia.org/wiki/Salvador,_Bahia"
22,S-022,Arena Corinthians,São Paulo,Brazil,63000,https://en.wikipedia.org/wiki/Arena_Corinthians,https://en.wikipedia.org/wiki/São_Paulo
23,S-023,Estádio do Pacaembu,São Paulo,Brazil,60000,https://en.wikipedia.org/wiki/Pacaembu_Stadium,https://en.wikipedia.org/wiki/São_Paulo
24,S-024,Estadio Carlos Dittborn,Arica,Chile,18000,https://en.wikipedia.org/wiki/Estadio_Carlos_Dittborn,https://en.wikipedia.org/wiki/Arica
25,S-025,Estadio El Teniente,Rancagua,Chile,18000,https://en.wikipedia.org/wiki/Estadio_El_Teniente,https://en.wikipedia.org/wiki/Rancagua
26,S-026,Estadio Nacional,Santiago,Chile,67000,https://en.wikipedia.org/wiki/Estadio_Nacional_Julio_Mart%C3%ADnez_Prádanos,https://en.wikipedia.org/wiki/Santiago
27,S-027,Estadio Sausalito,Viña del Mar,Chile,18000,https://en.wikipedia.org/wiki/Estadio_Sausalito,https://en.wikipedia.org/wiki/Viña_del_Mar
28,S-028,Villa Park,Birmingham,England,52000,https://en.wikipedia.org/wiki/Villa_Park,https://en.wikipedia.org/wiki/Birmingham
29,S-029,Goodison Park,Liverpool,England,50000,https://en.wikipedia.org/wiki/Goodison_Park,https://en.wikipedia.org/wiki/Liverpool
30,S-030,Wembley Stadium,London,England,99000,https://en.wikipedia.org/wiki/Wembley_Stadium_(1923),https://en.wikipedia.org/wiki/London
31,S-031,White City Stadium,London,England,77000,https://en.wikipedia.org/wiki/White_City_Stadium,https://en.wikipedia.org/wiki/London
32,S-032,Old Trafford,Manchester,England,58000,https://en.wikipedia.org/wiki/Old_Trafford,https://en.wikipedia.org/wiki/Manchester
33,S-033,Ayresome Park,Middlesbrough,England,40000,https://en.wikipedia.org/wiki/Ayresome_Park,https://en.wikipedia.org/wiki/Middlesbrough
34,S-034,Hillsborough Stadium,Sheffield,England,43000,https://en.wikipedia.org/wiki/Hillsborough_Stadium,https://en.wikipedia.org/wiki/Sheffield
35,S-035,Roker Park,Sunderland,England,40000,https://en.wikipedia.org/wiki/Roker_Park,https://en.wikipedia.org/wiki/Sunderland
