key_id,booking_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,minute_label,minute_regulation,minute_stoppage,match_period,yellow_card,red_card,second_yellow_card,sending_off
1,B-0001,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-69,Soviet Union,SUN,0,1,P-07448,Asatiani,Kakhi,11,30',30,0,first half,1,0,0,0
2,B-0002,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-69,Soviet Union,SUN,0,1,P-07350,Nodia,Givi,19,31',31,0,first half,1,0,0,0
3,B-0003,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-69,Soviet Union,SUN,0,1,P-00603,Lovchev,Evgeny,6,34',34,0,first half,1,0,0,0
4,B-0004,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-44,Mexico,MEX,1,0,P-09033,Peña,Gustavo,3,60',60,0,second half,1,0,0,0
5,B-0005,WC-1970,1970 FIFA World Cup,M-1970-01,Mexico v Soviet Union,1970-05-31,group stage,Group 1,T-69,Soviet Union,SUN,0,1,P-04868,Logofet,Gennady,7,72',72,0,second half,1,0,0,0
6,B-0006,WC-1970,1970 FIFA World Cup,M-1970-06,Italy v Sweden,1970-06-03,group stage,Group 2,T-71,Sweden,SWE,0,1,P-07601,Cronqvist,Claes,13,56',56,0,second half,1,0,0,0
7,B-0007,WC-1970,1970 FIFA World Cup,M-1970-07,Brazil v Czechoslovakia,1970-06-03,group stage,Group 3,T-09,Brazil,BRA,1,0,P-03612,Gérson,not applicable,8,31',31,0,first half,1,0,0,0
8,B-0008,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-58,Romania,ROU,1,0,P-05240,Nunweiller,Radu,10,82',82,0,second half,1,0,0,0
9,B-0009,WC-1970,1970 FIFA World Cup,M-1970-11,Romania v Czechoslovakia,1970-06-06,group stage,Group 3,T-20,Czechoslovakia,CSK,0,1,P-00838,Kvašňák,Andrej,6,82',82,0,second half,1,0,0,0
10,B-0010,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-01469,Cortés,Santiago,4,13',13,0,first half,1,0,0,0
11,B-0011,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-05363,Mariona,Salvador,3,33',33,0,first half,1,0,0,0
12,B-0012,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-05132,Magaña,Raúl,1,45',45,0,first half,1,0,0,0
13,B-0013,WC-1970,1970 FIFA World Cup,M-1970-13,Mexico v El Salvador,1970-06-07,group stage,Group 1,T-26,El Salvador,SLV,0,1,P-05251,Cabezas,Salvador,10,57',57,0,second half,1,0,0,0
14,B-0014,WC-1970,1970 FIFA World Cup,M-1970-14,Sweden v Israel,1970-06-07,group stage,Group 2,T-38,Israel,ISR,0,1,P-03139,Bar,Shraga,2,38',38,0,first half,1,0,0,0
15,B-0015,WC-1970,1970 FIFA World Cup,M-1970-14,Sweden v Israel,1970-06-07,group stage,Group 2,T-71,Sweden,SWE,1,0,P-05734,Persson,Örjan,11,72',72,0,second half,1,0,0,0
16,B-0016,WC-1970,1970 FIFA World Cup,M-1970-14,Sweden v Israel,1970-06-07,group stage,Group 2,T-38,Israel,ISR,0,1,P-02541,Primo,David,4,89',89,0,second half,1,0,0,0
17,B-0017,WC-1970,1970 FIFA World Cup,M-1970-15,Brazil v England,1970-06-07,group stage,Group 3,T-27,England,ENG,0,1,P-01479,Lee,Francis,7,30',30,0,first half,1,0,0,0
18,B-0018,WC-1970,1970 FIFA World Cup,M-1970-17,Soviet Union v El Salvador,1970-06-10,group stage,Group 1,T-69,Soviet Union,SUN,1,0,P-09955,Khmelnitsky,Vitaly,21,90',90,0,second half,1,0,0,0
19,B-0019,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-58,Romania,ROU,0,1,P-07538,Dumitru,Ion,15,44',44,0,first half,1,0,0,0
20,B-0020,WC-1970,1970 FIFA World Cup,M-1970-19,Brazil v Romania,1970-06-10,group stage,Group 3,T-58,Romania,ROU,0,1,P-04138,Mocanu,Mihai,4,78',78,0,second half,1,0,0,0
21,B-0021,WC-1970,1970 FIFA World Cup,M-1970-21,Mexico v Belgium,1970-06-11,group stage,Group 1,T-06,Belgium,BEL,0,1,P-06673,Van Himst,Paul,10,15',15,0,first half,1,0,0,0
22,B-0022,WC-1970,1970 FIFA World Cup,M-1970-21,Mexico v Belgium,1970-06-11,group stage,Group 1,T-44,Mexico,MEX,1,0,P-07033,Valdivia,Javier,19,19',19,0,first half,1,0,0,0
23,B-0023,WC-1970,1970 FIFA World Cup,M-1970-21,Mexico v Belgium,1970-06-11,group stage,Group 1,T-44,Mexico,MEX,1,0,P-09033,Peña,Gustavo,3,29',29,0,first half,1,0,0,0
